root_cause_service,fault_type,fault_date,node,num_in,num_out,weight_in,weight_out,num_anomalous_in,num_anomalous_out,weight_anomalous_in,weight_anomalous_out,num_traces,num_anomalous_traces,num_unique_traces,num_unique_anomalous_traces,root_cause,ranked
n/a,n/a,n/a,food,3,3,20660,38142,0,0,0,0,22502,0,11,0,0,0
n/a,n/a,n/a,food-map,1,0,15672,0,0,0,0,0,13214,0,1,0,0,0
n/a,n/a,n/a,gateway,0,20,0,248531,0,0,0,0,248531,0,71,0,0,0
n/a,n/a,n/a,travel,6,5,49499,127693,0,0,0,0,26508,0,37,0,0,0
n/a,n/a,n/a,route,4,0,60401,0,0,0,0,0,24776,0,51,0,0,0
n/a,n/a,n/a,station,8,0,162988,0,0,0,0,0,66247,0,53,0,0,0
n/a,n/a,n/a,order,8,1,91515,15482,0,0,0,0,75895,0,48,0,0,0
n/a,n/a,n/a,admin-order,1,2,29181,34770,0,0,0,0,29181,0,1,0,0,0
n/a,n/a,n/a,order-other,8,1,51414,16113,0,0,0,0,53732,0,44,0,0,0
n/a,n/a,n/a,auth,1,1,9619,5484,0,0,0,0,9619,0,1,0,0,0
n/a,n/a,n/a,verification-code,2,0,42975,0,0,0,0,0,44776,0,2,0,0,0
n/a,n/a,n/a,preserve-other,1,11,1121,6106,0,0,0,0,1121,0,14,0,0,0
n/a,n/a,n/a,security,2,2,2703,10385,0,0,0,0,6875,0,13,0,0,0
n/a,n/a,n/a,seat,5,5,20069,73290,0,0,0,0,13686,0,47,0,0,0
n/a,n/a,n/a,travel2,4,5,8640,22140,0,0,0,0,4499,0,47,0,0,0
n/a,n/a,n/a,config,2,0,16510,0,0,0,0,0,11326,0,41,0,0,0
n/a,n/a,n/a,contacts,4,0,19392,0,0,0,0,0,22683,0,12,0,0,0
n/a,n/a,n/a,ticketinfo,5,1,63569,68051,0,0,0,0,14862,0,49,0,0,0
n/a,n/a,n/a,basic,1,4,68051,144438,0,0,0,0,15335,0,49,0,0,0
n/a,n/a,n/a,train,4,0,41212,0,0,0,0,0,14401,0,48,0,0,0
n/a,n/a,n/a,price,2,0,11504,0,0,0,0,0,11952,0,42,0,0,0
n/a,n/a,n/a,assurance,3,0,20901,0,0,0,0,0,23185,0,12,0,0,0
n/a,n/a,n/a,preserve,1,11,7608,33961,0,0,0,0,7608,0,1,0,0,0
n/a,n/a,n/a,notification,3,0,8288,0,0,0,0,0,10821,0,13,0,0,0
n/a,n/a,n/a,user,4,0,7831,0,0,0,0,0,10792,0,15,0,0,0
n/a,n/a,n/a,ts-ui-dashboard,1,0,38749,0,0,0,0,0,38749,0,1,0,0,0
n/a,n/a,n/a,consign,1,0,1489,0,0,0,0,0,1489,0,1,0,0,0
n/a,n/a,n/a,travel-plan,1,4,3602,15553,0,0,0,0,3602,0,32,0,0,0
n/a,n/a,n/a,route-plan,1,2,443,6231,0,0,0,0,2477,0,32,0,0,0
n/a,n/a,n/a,cancel,1,5,11229,22406,0,0,0,0,11229,0,2,0,0,0
n/a,n/a,n/a,inside-payment,2,3,9305,11110,0,0,0,0,10217,0,4,0,0,0
n/a,n/a,n/a,payment,1,0,3677,0,0,0,0,0,4635,0,2,0,0,0
n/a,n/a,n/a,admin-route,1,1,52,40,0,0,0,0,52,0,1,0,0,0
n/a,n/a,n/a,admin-basic-info,1,5,288,225,0,0,0,0,288,0,5,0,0,0
n/a,n/a,n/a,admin-user,1,1,50,34,0,0,0,0,50,0,1,0,0,0
n/a,n/a,n/a,admin-travel,1,2,48,70,0,0,0,0,48,0,1,0,0,0
