service,num_in,num_out,num_out-in,num_unique_req
station,8,0,-8,23387
order-other,8,1,-7,11988
order,8,1,-7,19360
travel,7,5,-2,22331
ticketinfo,5,1,-4,23025
seat,5,5,0,21915
train,4,0,-4,20108
route,4,0,-4,20294
user,4,0,-4,6668
contacts,4,0,-4,3637
travel2,4,5,1,9444
food,3,3,0,6302
notification,3,0,-3,7215
verification-code,3,0,-3,4
assurance,3,0,-3,5967
price,2,0,-2,12204
inside-payment,2,3,1,31
security,2,2,0,10376
config,2,0,-2,12138
basic,1,4,3,24353
cancel,1,5,4,39
admin-order,1,2,1,7
preserve,1,11,10,11975
preserve-other,1,11,10,1796
ts-ui-dashboard,1,2,1,3
payment,1,0,-1,6
auth,1,1,0,3
travel-plan,1,4,3,6832
route-plan,1,2,1,4742
consign,1,0,-1,1
admin-basic-info,1,5,4,11
food-map,1,0,-1,16
admin-user,1,1,0,3
admin-route,1,1,0,3
admin-travel,1,2,1,26
gateway,0,20,20,11768
