NODE SUMMARY
service,num_in,num_out,num_out-in,num_invo-in,num_invo-out
order-other,8,1,-7,51414,16113
station,8,0,-8,162988,0
order,8,1,-7,91515,15482
travel,6,5,-1,49499,127693
ticketinfo,5,1,-4,63569,68051
seat,5,5,0,20069,73290
user,4,0,-4,7831,0
contacts,4,0,-4,19392,0
route,4,0,-4,60401,0
travel2,4,5,1,8640,22140
train,4,0,-4,41212,0
food,3,3,0,20660,38142
notification,3,0,-3,8288,0
assurance,3,0,-3,20901,0
inside-payment,2,3,1,9305,11110
verification-code,2,0,-2,42975,0
price,2,0,-2,11504,0
config,2,0,-2,16510,0
security,2,2,0,2703,10385
cancel,1,5,4,11229,22406
admin-order,1,2,1,29181,34770
ts-ui-dashboard,1,0,-1,38749,0
payment,1,0,-1,3677,0
auth,1,1,0,9619,5484
consign,1,0,-1,1489,0
admin-basic-info,1,5,4,288,225
basic,1,4,3,68051,144438
travel-plan,1,4,3,3602,15553
route-plan,1,2,1,443,6231
food-map,1,0,-1,15672,0
preserve,1,11,10,7608,33961
preserve-other,1,11,10,1121,6106
admin-user,1,1,0,50,34
admin-route,1,1,0,52,40
admin-travel,1,2,1,48,70
gateway,0,20,20,0,248531

EDGE SUMMARY
"source,target",num_invo,num_unique_req
"gateway,food",16335
"gateway,order-other",24728
"gateway,cancel",11229
"gateway,admin-order",29181
"gateway,verification-code",37491
"gateway,contacts",16706
"gateway,assurance",16778
"gateway,ts-ui-dashboard",38749
"gateway,order",24214
"gateway,inside-payment",5704
"gateway,auth",9619
"gateway,consign",1489
"gateway,admin-basic-info",288
"gateway,travel-plan",3602
"gateway,preserve",7608
"gateway,travel",3539
"gateway,preserve-other",1121
"gateway,admin-user",50
"gateway,admin-route",52
"gateway,admin-travel",48
"food,station",14294
"food,travel",8176
"food,food-map",15672
"order-other,station",16113
"cancel,notification",3292
"cancel,order",10842
"cancel,inside-payment",3601
"cancel,user",3247
"cancel,order-other",1424
"order,station",15482
"inside-payment,payment",3677
"inside-payment,order",6636
"inside-payment,order-other",797
"admin-order,order",20091
"admin-order,order-other",14679
"auth,verification-code",5484
"admin-basic-info,station",42
"admin-basic-info,contacts",46
"admin-basic-info,config",41
"admin-basic-info,price",40
"admin-basic-info,train",56
"travel,route",41396
"travel,ticketinfo",46041
"travel,seat",10397
"travel,train",24209
"travel,order",5650
"basic,price",11464
"basic,station",110193
"basic,route",11373
"basic,train",11408
"ticketinfo,basic",68051
"travel-plan,ticketinfo",8409
"travel-plan,seat",4872
"travel-plan,route-plan",443
"travel-plan,station",1829
"route-plan,travel",4307
"route-plan,travel2",1924
"travel2,order-other",798
"travel2,train",5539
"travel2,route",7592
"travel2,seat",1742
"travel2,ticketinfo",6469
"seat,travel2",6313
"seat,travel",31525
"seat,order",15822
"seat,config",16469
"seat,order-other",3161
"preserve,notification",4274
"preserve,security",2309
"preserve,station",4244
"preserve,food",3700
"preserve,assurance",3503
"preserve,contacts",2250
"preserve,user",3860
"preserve,order",3114
"preserve,travel",1916
"preserve,ticketinfo",2221
"preserve,seat",2570
"security,order-other",5239
"security,order",5146
"preserve-other,order-other",588
"preserve-other,assurance",620
"preserve-other,travel2",369
"preserve-other,notification",722
"preserve-other,seat",488
"preserve-other,food",625
"preserve-other,ticketinfo",429
"preserve-other,user",690
"preserve-other,contacts",390
"preserve-other,security",394
"preserve-other,station",791
"admin-user,user",34
"admin-route,route",40
"admin-travel,travel2",34
"admin-travel,travel",36
