root_cause_service,fault_type,fault_date,node,num_in,num_out,weight_in,weight_out,num_anomalous_in,num_anomalous_out,weight_anomalous_in,weight_anomalous_out,num_traces,num_anomalous_traces,num_unique_traces,num_unique_anomalous_traces,root_cause,ranked
admin-order,abort,1011,auth,1,1,23,20,0,0,0,0,23,0,1,0,0,0
admin-order,abort,1011,verification-code,2,0,109,0,0,0,0,0,110,0,2,0,0,0
admin-order,abort,1011,basic,1,4,51,95,0,0,0,0,7,2,3,2,0,0
admin-order,abort,1011,price,1,0,7,0,0,0,0,0,7,2,3,2,0,0
admin-order,abort,1011,route,2,0,63,0,0,0,0,0,32,2,3,1,0,0
admin-order,abort,1011,station,6,0,248,0,0,0,0,0,164,2,6,2,0,0
admin-order,abort,1011,train,2,0,20,0,0,0,0,0,7,2,3,2,0,0
admin-order,abort,1011,cancel,1,5,29,69,0,0,0,0,29,0,2,0,0,0
admin-order,abort,1011,inside-payment,2,3,25,39,0,0,0,0,25,0,4,0,0,0
admin-order,abort,1011,notification,2,0,9,0,0,0,0,0,10,2,2,1,0,0
admin-order,abort,1011,order,7,1,153,61,1,0,1,0,124,2,7,2,0,0
admin-order,abort,1011,order-other,5,1,77,61,0,0,0,0,72,2,5,2,0,0
admin-order,abort,1011,user,3,0,10,0,1,0,1,0,10,2,3,2,0,0
admin-order,abort,1011,food,2,3,33,130,0,0,0,0,34,2,2,1,0,0
admin-order,abort,1011,food-map,1,0,53,0,0,0,0,0,32,0,1,0,0,0
admin-order,abort,1011,travel,4,5,57,127,0,0,0,0,38,1,3,1,0,0
admin-order,abort,1011,gateway,0,15,0,4531,0,1,0,2335,4531,2337,17,3,0,0
admin-order,abort,1011,admin-order,1,0,2335,0,1,0,2335,0,2335,2335,1,1,1,1
admin-order,abort,1011,assurance,2,0,42,0,0,0,0,0,42,1,2,1,0,0
admin-order,abort,1011,consign,1,0,2,0,0,0,0,0,2,0,1,0,0,0
admin-order,abort,1011,contacts,3,0,38,0,0,0,0,0,38,2,3,2,0,0
admin-order,abort,1011,preserve,1,11,1,12,0,1,0,1,1,1,1,1,0,0
admin-order,abort,1011,preserve-other,1,5,1,5,0,1,0,1,1,1,1,1,0,0
admin-order,abort,1011,ts-ui-dashboard,1,0,1784,0,0,0,0,0,1784,0,1,0,0,0
admin-order,abort,1011,payment,1,0,13,0,0,0,0,0,14,0,2,0,0,0
admin-order,abort,1011,seat,2,5,9,48,0,0,0,0,7,2,3,2,0,0
admin-order,abort,1011,security,2,2,2,4,1,1,1,1,2,2,2,2,0,0
admin-order,abort,1011,ticketinfo,3,1,46,51,0,0,0,0,7,2,3,2,0,0
admin-order,abort,1011,config,1,0,12,0,0,0,0,0,6,1,2,1,0,0
admin-order,abort,1011,travel2,1,0,1,0,0,0,0,0,1,1,1,1,0,0
admin-order,abort,1015,auth,1,1,31,14,0,0,0,0,31,0,1,0,0,0
admin-order,abort,1015,verification-code,2,0,115,0,0,0,0,0,120,0,2,0,0,0
admin-order,abort,1015,basic,1,4,69,138,0,0,0,0,29,0,21,0,0,0
admin-order,abort,1015,price,1,0,9,0,0,0,0,0,13,0,6,0,0,0
admin-order,abort,1015,route,3,0,69,0,0,0,0,0,44,0,18,0,0,0
admin-order,abort,1015,station,6,0,211,0,0,0,0,0,174,0,25,0,0,0
admin-order,abort,1015,train,3,0,44,0,0,0,0,0,27,0,18,0,0,0
admin-order,abort,1015,cancel,1,5,43,47,0,0,0,0,43,0,4,0,0,0
admin-order,abort,1015,inside-payment,2,3,26,23,0,0,0,0,33,0,5,0,0,0
admin-order,abort,1015,notification,2,0,12,0,0,0,0,0,19,0,8,0,0,0
admin-order,abort,1015,order,7,1,150,28,0,0,0,0,142,0,19,0,0,0
admin-order,abort,1015,order-other,6,1,105,47,0,0,0,0,112,0,9,0,0,0
admin-order,abort,1015,user,2,0,10,0,0,0,0,0,24,0,8,0,0,0
admin-order,abort,1015,food,2,3,55,58,0,0,0,0,56,0,7,0,0,0
admin-order,abort,1015,food-map,1,0,24,0,0,0,0,0,34,0,2,0,0,0
admin-order,abort,1015,travel,5,5,61,133,0,0,0,0,65,0,24,0,0,0
